observation_unit,sector,paired_observation_count,vader_mean,finbert_mean,pearson_correlation,spearman_correlation,descriptive_label_agreement_rate,opposite_sign_rate,neutral_non_neutral_rate,vader_positive_rate,vader_negative_rate,vader_neutral_rate,finbert_positive_rate,finbert_negative_rate,finbert_neutral_rate,vader_label_rule,finbert_label_rule,correlation_basis,interpretation_status
clean_headline_row,All,146836,0.10561396115394045,0.047165286807144234,,,0.5364828788580457,0.05236454275518265,0.41115257838677166,0.37444495900187963,0.12983192132719495,0.49572311967092536,0.19587158462502383,0.16342722493121578,0.6407011904437604,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Comm,11783,0.09946375286429603,0.04274649783597598,,,0.5388271238224561,0.04133073071374013,0.4198421454638038,0.35220232538402785,0.12484087244335058,0.5229568021726215,0.1723669693626411,0.15030128150725622,0.6773317491301027,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Consumer,25877,0.09437270549136297,0.024443099765600027,,,0.5508752946632144,0.04513660779843104,0.4039880975383545,0.3483402249101519,0.13494609112339143,0.5167136839664567,0.16176527418170575,0.1588283031263284,0.6794064226919658,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Energy,19365,0.10598643945262069,0.0332147439329058,,,0.5115414407436096,0.05623547637490318,0.4322230828814872,0.41027627162406405,0.1515104570100697,0.43821327136586624,0.2,0.17918925897237284,0.6208107410276271,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Financials,18269,0.08961586293721606,-0.007591278018842086,,,0.542503694783513,0.07624938420274782,0.38124692101373914,0.359023482401883,0.14844819092451694,0.4925283266736001,0.19475614428813837,0.2186217089057967,0.586622146806065,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Healthcare,14697,0.107321541811254,0.1350363392878146,,,0.5300401442471253,0.05286793223106757,0.4170919235218072,0.37225284071579234,0.1266925222834592,0.5010546370007485,0.24610464720691297,0.12043274137579098,0.6334626114172961,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Industrials,13156,0.09012601854667072,0.017253522672111384,,,0.5538917604134995,0.06263301915475829,0.38347522043174215,0.3529948312557008,0.14852538765582243,0.49847978108847674,0.2161751292186075,0.20728184858619642,0.5765430221951962,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Materials,5393,0.09555028740960504,0.04336931265349385,,,0.5727795290190988,0.04116447246430558,0.3860559985165956,0.32338216206193215,0.10068607454107176,0.5759317633969961,0.18542555164101612,0.15371778231040237,0.6608566660485815,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,RealEstate,5339,0.13328361116313917,0.09425507545053238,,,0.5255665855029031,0.026971342948117625,0.4474620715489792,0.38715115190110505,0.07960292189548604,0.5332459262034088,0.1736280202285072,0.09852032215770744,0.7278516576137853,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Tech,26638,0.1158259891883775,0.06906313506071535,,,0.5460244763120354,0.04692544485321721,0.40705007883474736,0.37968315939635106,0.11731361213304302,0.5030032284706059,0.21056385614535625,0.1529769502214881,0.6364591936331556,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
clean_headline_row,Utilities,6319,0.17866258901724957,0.07855811890145116,,,0.4489634435828454,0.05301471751859471,0.4980218388985599,0.5181199556891913,0.08640607691090363,0.39547396739990504,0.17661022313657224,0.11473334388352588,0.7086564329799019,positive >= 0.05; negative <= -0.05; otherwise neutral,"argmax of positive, negative, and neutral probabilities",not reported; correlations restricted to matched date-sector observations,descriptive comparison; not accuracy or predictive evidence
